DCPro Target
ORIGINATOR "LaserSoft Imaging AG"
DESCRIPTOR "SEMI GLOSSY DCPro Target, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER "LaserSoft Imaging AG - http://www.silverfast.com"
CREATED "January 10, 2012"
PROD_DATE " 2012:01"
SERIAL "D120104 Batch Average Data"
MATERIAL "SEMI GLOSSY"
NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 140
BEGIN_DATA
A1          53.65   55.83   42.24          79.52   -0.43    4.69
A2           0.56    0.58    0.50           5.23   -0.05   -0.36
A3           3.55    3.53    2.28          22.03    2.36    5.11
A4          24.15   25.06   18.54          57.13   -0.02    4.50
A5          50.65   52.78   41.05          77.74   -0.61    3.14
A6          70.08   72.62   55.47          88.27    0.16    4.56
A7           0.53    0.56    0.48           5.00   -0.18   -0.47
A8          76.69   79.01   60.21          91.24    1.06    4.84
A9          70.23   72.81   55.69          88.36    0.08    4.48
A10         48.82   50.87   40.32          76.60   -0.60    2.11
A11         21.49   22.27   17.18          54.31    0.10    2.67
A12          2.80    2.78    1.99          19.13    2.22    2.83
A13          0.51    0.53    0.47           4.78   -0.21   -0.58
A14         49.05   51.13   40.60          76.76   -0.66    2.04
B1          76.43   78.76   59.64          91.13    1.02    5.21
B2          29.76   24.57   13.93          56.65   24.78   14.73
B3           3.84    5.17    4.72          27.20  -15.54   -2.57
B4          22.19   27.44    9.28          59.38  -18.50   33.42
B5          17.09   10.67    8.04          39.03   43.67    2.84
B6           3.60    4.76    7.00          26.05  -14.15  -15.38
B7          25.83   29.37   10.88          61.11  -10.02   31.14
B8          22.10   14.46    3.99          44.89   43.58   32.13
B9           4.27    4.79    9.09          26.14   -4.65  -23.23
B10         21.27   27.24   20.85          59.19  -21.95    3.19
B11         12.03    6.18    1.37          29.86   52.21   28.00
B12         26.64   27.14   29.47          59.10    1.95  -12.42
B13         22.61   27.69   17.02          59.61  -17.56   12.19
B14         76.62   78.93   60.09          91.20    1.07    4.88
C1           0.57    0.59    0.50           5.36   -0.16   -0.17
C2          31.90   33.14    7.52          64.27   -0.15   48.40
C3          10.92    7.31   12.76          32.51   32.81  -23.73
C4          38.30   36.46   33.51          66.87   10.37   -5.23
C5           5.89    5.14    1.96          27.14   11.03   16.87
C6          56.25   61.49   49.42          82.64   -7.36    1.48
C7          63.80   64.10   46.36          84.02    4.62    7.39
C8          55.54   60.34   51.40          82.02   -6.45   -1.82
C9          61.13   63.14   50.83          83.52    0.62    1.40
C10         10.18    9.09    3.49          36.15   11.55   20.20
C11         16.05   15.47   21.25          46.27    6.67  -19.90
C12         33.40   32.93    3.05          64.10    5.91   71.50
C13         11.39    5.90    2.45          29.16   50.73   15.92
C14          0.52    0.55    0.48           4.98   -0.39   -0.41
D1           4.02    4.00    2.53          23.66    2.40    5.83
D2          20.88   23.26   23.75          55.34   -7.25   -9.05
D3          37.54   34.59   13.60          65.43   14.16   30.72
D4          20.19   24.32   10.21          56.41  -15.15   25.16
D5          42.08   41.80   19.26          70.73    5.43   26.40
D6          12.93   21.84    5.72          53.86  -45.18   38.27
D7          22.46   28.27   33.73          60.13  -20.48  -17.18
D8          15.44    7.62   10.54          33.18   59.56  -15.94
D9           4.92    3.81   11.36          23.02   17.27  -36.00
D10         51.77   50.26   29.19          76.23    8.90   17.55
D11         47.41   42.25    3.69          71.04   19.49   79.08
D12         12.29   11.15    3.79          39.83   11.01   24.63
D13         33.26   39.12   32.36          68.84  -15.01   -0.13
D14          2.91    2.91    2.08          19.67    1.88    2.87
E1          27.35   28.42   20.50          60.27   -0.17    5.75
E2          40.06   36.62   25.38          66.99   15.43    8.06
E3          40.32   39.86   23.16          69.37    5.93   16.24
E4          57.22   60.39   34.85          82.05   -2.43   18.99
E5          47.23   46.98   31.89          74.17    5.49    9.78
E6          68.07   70.22   32.57          87.11    0.81   31.06
E7           0.53    0.55    0.48           5.02   -0.21   -0.45
E8          76.53   78.88   59.59          91.18    1.00    5.34
E9          31.78   25.72    3.66          57.77   27.45   56.42
E10         37.14   35.41   20.68          66.06   10.09   15.40
E11          6.29    4.52    2.66          25.34   23.09    7.65
E12         35.77   34.91   17.92          65.68    7.23   20.60
E13         12.21   17.17   12.14          48.47  -26.80    5.56
E14         21.77   22.56   17.66          54.62    0.10    2.11
F1          54.15   56.41   42.76          79.85   -0.59    4.61
F2          37.26   38.74    5.59          68.56   -0.30   64.26
F3          40.42   38.35   18.97          68.27   10.98   22.78
F4          11.44   10.46   11.66          38.66   10.12   -9.95
F5          49.38   46.80   25.75          74.06   11.87   19.61
F6          10.71   19.20   33.79          50.92  -48.08  -33.14
F7          49.68   51.78   40.76          77.15   -0.64    2.49
F8           0.53    0.56    0.48           5.03   -0.21   -0.39
F9          22.95   10.40   23.04          38.55   74.75  -36.68
F10         18.71   16.28    4.11          47.35   16.45   35.66
F11         42.50   37.01    1.67          67.28   21.55   89.12
F12         38.64   36.64   18.39          67.00   10.89   21.83
F13          5.36    4.06    3.96          23.88   18.94   -3.94
F14         49.33   51.38   40.75          76.91   -0.54    2.09
G1          62.87   65.34   49.99          84.66   -0.27    4.30
G2          16.82   21.31   32.88          53.29  -19.24  -27.72
G3          43.06   42.65   25.13          71.32    5.84   15.97
G4          65.15   66.49   23.11          85.25    2.37   43.69
G5          19.57   18.34    7.06          49.90    9.84   25.51
G6          16.57    8.17    0.60          34.33   61.11   47.95
G7           3.86    8.86    1.31          35.71  -51.81   38.94
G8           3.10    1.44   14.62          12.20   37.37  -63.72
G9          49.24   44.58    1.84          72.62   17.73   96.51
G10         36.64   35.54   21.14          66.17    8.01   14.63
G11         32.17   29.34    1.55          61.08   14.58   79.75
G12         43.94   42.90   24.18          71.49    7.69   17.99
G13         20.34   26.66   28.06          58.66  -24.13  -10.89
G14         59.48   61.81   48.68          82.81   -0.25    2.61
H1           0.55    0.58    0.49           5.23   -0.07   -0.25
H2          38.94   35.38   20.03          66.05   15.96   16.69
H3          33.30   32.70    6.76          63.92    6.36   50.89
H4          15.00   15.78   23.34          46.69   -1.28  -23.21
