IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "FUJICOLOR Crystal Archive Paper, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "April 05, 2023"
PROD_DATE "2023:01"
SAMPLE_BACKING "white"
SERIAL "5x7 R230122 Batch Average Data"
MATERIAL "FUJICOLOR Crystal Archive DP II Paper"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS 288
BEGIN_DATA
A1          3.58    2.97    2.14          19.91   11.97    2.74          12.28   12.89
A2          4.45    2.93    1.71          19.77   25.12    6.74          26.01   15.02 
A3          5.16    2.91    1.48          19.68   34.67    9.11          35.85   14.72
A4          5.69    3.15    1.59          20.64   36.69    9.58          37.92   14.63 
A5         13.22   11.59    8.64          40.55   14.04    3.22          14.40   12.92
A6         15.46   11.42    7.45          40.28   29.08    7.31          29.98   14.11 
A7         17.81   11.35    6.60          40.17   42.65   10.68          43.97   14.06
A8         21.29   11.18    5.36          39.87   61.38   15.93          63.41   14.55 
A9         42.74   41.98   34.15          70.86    6.85    0.71           6.89    5.92
A10        45.29   42.08   32.49          70.93   13.97    3.29          14.35   13.25
A11        47.66   42.13   31.52          70.96   20.50    4.82          21.06   13.23
A12        50.33   42.12   30.13          70.95   27.80    6.97          28.66   14.08 
A13        77.74   81.21   69.75          92.23   -1.14   -2.50           2.75  245.49
A14        79.07   81.56   69.72          92.38    0.84   -2.21           2.36  290.81 
A15        78.62   81.76   65.63          92.47   -0.42    1.71           1.76  103.80
A16        78.61   81.45   66.46          92.33    0.15    0.70           0.72   77.91
A17        77.34   79.64   64.42          91.52    1.12    1.22           1.66   47.45
A18        77.30   80.92   65.75          92.10   -1.46    0.96           1.75  146.67 
A19        78.30   81.15   69.66          92.20    0.12   -2.47           2.47  272.78
A20         1.30    0.99    0.62           8.89   11.59    3.62          12.14   17.35 
A21         5.36    3.33    0.66          21.33   29.98   24.27          38.57   38.99
A22        10.34    5.86    0.71          29.05   43.37   36.63          56.77   40.18
B1          3.48    3.03    1.66          20.17    9.36    7.97          12.29   40.41
B2          3.99    2.96    0.95          19.86   18.30   16.66          24.75   42.31
B3          4.62    2.93    0.53          19.77   27.48   24.05          36.52   41.19
B4          5.11    3.21    0.53          20.87   28.86   26.07          38.89   42.09
